     -.3500E-01	     -.6364E-03	     -.7173E-03	
      .4255E+00	     -.1451E+00	      .1599E-01	
     -.4358E+00	     -.1107E+00	     -.3380E-01	
      .6544E+00	     -.2254E+00	      .5223E-01	
     -.4094E+00	     -.6238E-01	     -.2279E-01	
      .3632E+00	      .3318E-01	      .1135E-01	
     -.2538E+00	      .2457E-01	     -.1175E-01	
      .1485E+00	      .9150E-01	      .2245E-02	
     -.5935E-01	      .9094E-01	     -.7393E-03	
     -.4052E-01	      .9237E-01	     -.5094E-02	
      .5524E-01	      .4038E-01	     -.3758E-02	
     -.1341E+00	      .2966E-01	      .9630E-03	
      .1973E+00	      .6396E-01	      .5913E-03	
     -.2640E+00	      .3628E-01	     -.2433E-02	
      .3072E+00	     -.2806E-01	      .3607E-02	
     -.3611E+00	     -.3309E-01	     -.4773E-02	
      .3647E+00	     -.2130E-01	      .1699E-02	
     -.4078E+00	     -.3657E-01	     -.2441E-02	
      .4369E+00	     -.6610E-01	      .4406E-02	
     -.4721E+00	     -.6728E-01	     -.4894E-02	
      .4719E+00	     -.6775E-01	      .2714E-02	
     -.5018E+00	     -.1139E+00	     -.3060E-02	
      .4991E+00	     -.1262E+00	     -.6002E-03	
     -.5253E+00	     -.6544E-01	      .3075E-03	
      .5587E+00	     -.1045E+00	     -.1021E-02	
     -.5815E+00	     -.1457E+00	      .7819E-03	
      .6290E+00	     -.1611E+00	     -.1169E-02	
     -.6487E+00	     -.1736E+00	      .9327E-03	
      .7069E+00	     -.4459E-01	     -.9049E-03	
     -.7231E+00	     -.5758E-01	      .6903E-03	
      .7926E+00	     -.1496E+00	      .7751E-03	
     -.8048E+00	     -.1564E+00	     -.9402E-03	
      .8681E+00	     -.2604E+00	      .2608E-02	
     -.8758E+00	     -.2614E+00	     -.2675E-02	
      .9219E+00	     -.3217E+00	      .3471E-02	
     -.9263E+00	     -.3191E+00	     -.3529E-02	
      .9623E+00	     -.3154E+00	      .3765E-02	
     -.9629E+00	     -.3122E+00	     -.3758E-02	
